cluster	id
1	TRAV16*01
1	TRAV3*01
1	TRAV8-1*01
1	TRAV8-2*01
1	TRAV8-3*01
1	TRAV8-4*01
1	TRAV8-6*01
2	TRAV18*01
2	TRAV40*01
2	TRAV9-1*01
2	TRAV9-2*01
3	TRAV25*01
3	TRAV27*01
3	TRAV30*01
3	TRAV34*01
3	TRAV35*01
4	TRAV20*01
4	TRAV24*01
4	TRAV36/DV7*01
4	TRAV7*01
5	TRAV22*01
5	TRAV41*01
6	TRAV10*01
6	TRAV17*01
6	TRAV21*01
6	TRAV39*01
6	TRAV6*01
7	TRAV1-1*01
7	TRAV1-2*01
8	TRAV2*01
9	TRAV12-1*01
9	TRAV12-2*01
9	TRAV12-3*01
10	TRAV13-1*01
10	TRAV13-2*01
10	TRAV23/DV6*01
10	TRAV29/DV5*01
10	TRAV5*01
11	TRAV26-1*01
11	TRAV26-2*01
11	TRAV4*01
12	TRAV14/DV4*01
12	TRAV19*01
12	TRAV38-1*01
12	TRAV38-2/DV8*01
