cluster	id
1	TRBV6-1*01
1	TRBV6-2*01
1	TRBV6-3*01
1	TRBV6-4*01
1	TRBV6-5*01
1	TRBV6-6*01
1	TRBV6-8*01
1	TRBV6-9*01
2	TRBV10-1*01
2	TRBV10-2*01
2	TRBV10-3*01
2	TRBV19*01
2	TRBV24-1*01
2	TRBV25-1*01
2	TRBV27*01
2	TRBV28*01
3	TRBV16*01
3	TRBV18*01
4	TRBV12-3*01
4	TRBV12-4*01
4	TRBV12-5*01
4	TRBV14*01
4	TRBV2*01
5	TRBV11-1*01
5	TRBV11-2*01
5	TRBV11-3*01
6	TRBV7-2*01
6	TRBV7-3*01
6	TRBV7-4*01
6	TRBV7-6*01
6	TRBV7-7*01
6	TRBV7-8*01
6	TRBV7-9*01
7	TRBV13*01
7	TRBV5-1*01
7	TRBV5-4*01
7	TRBV5-5*01
7	TRBV5-6*01
7	TRBV5-8*01
7	TRBV9*01
8	TRBV3-1*01
8	TRBV4-1*01
8	TRBV4-2*01
8	TRBV4-3*01
9	TRBV15*01
10	TRBV20-1*01
10	TRBV29-1*01
11	TRBV30*01
